question,option_a,option_b,option_c,option_d,map_a,map_b,map_c,map_d,level
What's your biggest skin concern?,Acne,Aging,Pigmentation,Sensitivity,acne,aging,pigmentation,sensitivity,basic
Which product features do you prefer?,SPF,Retinol,Fragrance-free,Vegan,SPF,retinol,fragrance-free,vegan,basic
How does your skin feel most of the time?,Tight and flaky,Shiny and greasy,Comfortable,Changes often,dry,oily,normal,combination,basic
How does your skin react after washing?,Feels tight,Looks shiny,Feels fine,Sometimes tight sometimes shiny,dry,oily,normal,combination,basic
How does your skin look by midday?,Dry patches,Oily shine,Fresh,Some areas oily some dry,dry,oily,normal,combination,basic
